"label","Hemi","Region","PGS","Estimate","Std_Error","t_value","P_Value","Significant_P_Value","Phenotype","Timepoint"
"rh_entorhinal","right","entorhinal","ADHD",0.00434095302673903,0.00541645278930152,0.801438357463986,0.422883914960292,"not sig","CT","T0"
"rh_entorhinal","right","entorhinal","ASD",0.0016717127978723,0.00539398965587495,0.309921394834625,0.75662276682819,"not sig","CT","T0"
"rh_entorhinal","right","entorhinal","BIP",-0.00549008095574256,0.00548788006290902,-1.00040104608853,0.317124088797172,"not sig","CT","T0"
"rh_entorhinal","right","entorhinal","MDD",-0.000292601517600787,0.0054111280189579,-0.0540740334687439,0.956876520510542,"not sig","CT","T0"
"rh_entorhinal","right","entorhinal","SCZ",-0.00170545795507514,0.00544651915792987,-0.31312805585051,0.754185431611982,"not sig","CT","T0"
"rh_entorhinal","right","entorhinal","SUD",0.00815379536272107,0.00543679743086226,1.49974235134008,0.133691099431932,"not sig","CT","T0"
"rh_fusiform","right","fusiform","ADHD",0.00802262580946597,0.00537530655146658,1.49249642465081,0.135578990834555,"not sig","CT","T0"
"rh_fusiform","right","fusiform","ASD",0.0182971103325545,0.0053521707418108,3.41863352557472,0.00063015451737378,"not sig","CT","T0"
"rh_fusiform","right","fusiform","BIP",0.00536640331992549,0.00544632976315448,0.985324714678552,0.324472105742824,"not sig","CT","T0"
"rh_fusiform","right","fusiform","MDD",-0.00326626115749257,0.00537012525768705,-0.608228114012256,0.543040542032343,"not sig","CT","T0"
"rh_fusiform","right","fusiform","SCZ",0.0118304258941269,0.00540487999451618,2.18884154803254,0.028615616499108,"not sig","CT","T0"
"rh_fusiform","right","fusiform","SUD",-0.0021214057431582,0.00539580934522509,-0.393158024576146,0.694205410021468,"not sig","CT","T0"
"rh_inferiorparietal","right","inferior parietal","ADHD",0.00633863602525961,0.00475786060273159,1.33224500558517,0.182789254908195,"not sig","CT","T0"
"rh_inferiorparietal","right","inferior parietal","ASD",0.00683358139501597,0.0047380652439851,1.44227254018739,0.149235368515313,"not sig","CT","T0"
"rh_inferiorparietal","right","inferior parietal","BIP",-0.00570042628164969,0.00482065876543783,-1.18249943815136,0.237016444393284,"not sig","CT","T0"
"rh_inferiorparietal","right","inferior parietal","MDD",0.0063396130517483,0.00475313510801985,1.33377505744611,0.182287156182815,"not sig","CT","T0"
"rh_inferiorparietal","right","inferior parietal","SCZ",0.00654276225522531,0.00478422297528901,1.36757051019974,0.171456233544832,"not sig","CT","T0"
"rh_inferiorparietal","right","inferior parietal","SUD",-0.0191526079819609,0.00477477607491026,-4.01120548513281,6.05477613456459e-05,"sig","CT","T0"
"rh_inferiortemporal","right","inferior temporal","ADHD",-0.00399906842887336,0.00536425897114159,-0.745502491655862,0.455973524747606,"not sig","CT","T0"
"rh_inferiortemporal","right","inferior temporal","ASD",0.00600061841757685,0.00534190693788766,1.1233101750645,0.261314278243637,"not sig","CT","T0"
"rh_inferiortemporal","right","inferior temporal","BIP",0.00738043191945543,0.00543491837452015,1.35796554996229,0.1744842666925,"not sig","CT","T0"
"rh_inferiortemporal","right","inferior temporal","MDD",-0.0133075189074522,0.00535845797902774,-2.48346053277566,0.0130163963130119,"not sig","CT","T0"
"rh_inferiortemporal","right","inferior temporal","SCZ",0.00350178469865765,0.00539400078994561,0.649199886137384,0.516213881743242,"not sig","CT","T0"
"rh_inferiortemporal","right","inferior temporal","SUD",-0.0109579188770536,0.00538423974106859,-2.03518405643631,0.0418406456493717,"not sig","CT","T0"
"rh_isthmuscingulate","right","isthmus cingulate","ADHD",-0.00216938053463728,0.00544153593160061,-0.39867062570313,0.690138595830619,"not sig","CT","T0"
"rh_isthmuscingulate","right","isthmus cingulate","ASD",0.00248679049512978,0.00541891774463769,0.458909068621791,0.646302607962174,"not sig","CT","T0"
"rh_isthmuscingulate","right","isthmus cingulate","BIP",-0.00542039451043726,0.00551325497817485,-0.983156870468499,0.325537730392552,"not sig","CT","T0"
"rh_isthmuscingulate","right","isthmus cingulate","MDD",-0.0116374873484988,0.00543575298611066,-2.14091541286638,0.0322884527147695,"not sig","CT","T0"
"rh_isthmuscingulate","right","isthmus cingulate","SCZ",-0.00314356851530068,0.00547167988615671,-0.574516159699671,0.565622639279925,"not sig","CT","T0"
"rh_isthmuscingulate","right","isthmus cingulate","SUD",-0.0268779344398383,0.00546004325290035,-4.92265961914513,8.58036069224934e-07,"sig","CT","T0"
"rh_lateraloccipital","right","lateral occipital","ADHD",0.0109163691410831,0.00526907558133803,2.07178070850731,0.0382939525227233,"not sig","CT","T0"
"rh_lateraloccipital","right","lateral occipital","ASD",0.0133362504896811,0.00524699938451898,2.5416908812738,0.0110364818288682,"not sig","CT","T0"
"rh_lateraloccipital","right","lateral occipital","BIP",0.00592530958322356,0.00533884683196408,1.10984820687274,0.267072848560006,"not sig","CT","T0"
