"label","Hemisphere","Region","PGS","Estimate_Score","Std_Error_Score","t_value_Score","p_value_Score","Significant_p_value_Score","Estimate_Interaction","Std_Error_Interaction","t_value_Interaction","p_value_Interaction","Significant_p_value_Interaction","Phenotype"
"rh_entorhinal","right","entorhinal","SCZ",0.0174940816301163,0.040062096746633,0.436674139667603,0.662347686324176,"not sig",-0.000352848563010484,0.000722196772478035,-0.488576765304245,0.625141365833035,"not sig","CT"
"rh_entorhinal","right","entorhinal","SUD",-0.0209583779501207,0.040009879663409,-0.523830067134347,0.60039673874168,"not sig",0.000532576436876521,0.000725267167972472,0.734317587221507,0.462755201496937,"not sig","CT"
"rh_fusiform","right","fusiform","ADHD",-0.0113201923583816,0.0399488919881109,-0.283366866889589,0.776895624310089,"not sig",0.000360600143699221,0.000720619048840741,0.500403291141579,0.616791136433275,"not sig","CT"
"rh_fusiform","right","fusiform","ASD",-0.00660704043024425,0.0396389025697887,-0.166680710158709,0.867621284256081,"not sig",0.00045738063711355,0.000716246186671415,0.638580205556303,0.523096061765364,"not sig","CT"
"rh_fusiform","right","fusiform","BIP",-0.0282317366037882,0.0396607994948967,-0.711829740280975,0.476570213935033,"not sig",0.000617802702143515,0.000716066992936927,0.862772210194491,0.388262721205538,"not sig","CT"
"rh_fusiform","right","fusiform","MDD",-0.0229023211716751,0.0397163397826166,-0.576647326944744,0.564177721430725,"not sig",0.000356354527735459,0.00071765309889093,0.496555408575778,0.61950260492421,"not sig","CT"
"rh_fusiform","right","fusiform","SCZ",-0.0192115813513709,0.0398153185675585,-0.482517333592918,0.629438487970272,"not sig",0.000544052534979793,0.000717742238238376,0.758005459334697,0.448447714493371,"not sig","CT"
"rh_fusiform","right","fusiform","SUD",-0.0368989495367178,0.0397669441804814,-0.927879933878066,0.353469854266401,"not sig",0.000640783186558466,0.000720854960019889,0.888921103547357,0.374045482819791,"not sig","CT"
"rh_inferiorparietal","right","inferior parietal","ADHD",-0.047079240050983,0.0355163307774682,-1.32556598669957,0.184983498835735,"not sig",0.000978417234835102,0.000640664374701362,1.52719157404558,0.126713380920943,"not sig","CT"
"rh_inferiorparietal","right","inferior parietal","ASD",-0.0091781360911925,0.0352474791698326,-0.260391276407869,0.794561971349349,"not sig",0.000299889913566781,0.000636896692359851,0.470861157177028,0.637739887829273,"not sig","CT"
"rh_inferiorparietal","right","inferior parietal","BIP",-0.0366611687984097,0.0352612625778577,-1.03970096695945,0.298478851224471,"not sig",0.000573251741705598,0.000636636347082795,0.900438286837315,0.367887053372033,"not sig","CT"
"rh_inferiorparietal","right","inferior parietal","MDD",0.0308533894729796,0.0353095744180141,0.873796696264879,0.382228979938682,"not sig",-0.00044601981603028,0.000638026916986109,-0.699061127604419,0.484513830271297,"not sig","CT"
"rh_inferiorparietal","right","inferior parietal","SCZ",0.00282425634746036,0.0354003756226385,0.0797804062184654,0.936411908215214,"not sig",6.11551377894854e-05,0.000638156686033831,0.0958309128900099,0.923654865403148,"not sig","CT"
"rh_inferiorparietal","right","inferior parietal","SUD",-0.0536651563356567,0.0353469390148777,-1.51824055579661,0.128953767069983,"not sig",0.000630581939378661,0.000640736037336462,0.984152447550771,0.325040562525159,"not sig","CT"
"rh_inferiortemporal","right","inferior temporal","ADHD",-0.0759648070927863,0.0398978118066974,-1.90398429519973,0.0569122295594883,"not sig",0.00131791149803447,0.000719684219570069,1.83123578674794,0.0670653573669564,"not sig","CT"
"rh_inferiortemporal","right","inferior temporal","ASD",-0.0462897245298061,0.0395914736448431,-1.16918417700361,0.242329434813872,"not sig",0.000963915098763563,0.0007153870847599,1.34740355158505,0.177850297377924,"not sig","CT"
"rh_inferiortemporal","right","inferior temporal","BIP",-0.00693994581323885,0.0396094714116845,-0.175209250865984,0.860915215631864,"not sig",0.000261130570458625,0.000715127788272037,0.365152319265336,0.71499770810021,"not sig","CT"
"rh_inferiortemporal","right","inferior temporal","MDD",-0.0155291851609968,0.0396628076297575,-0.391530153537234,0.69540540466592,"not sig",3.3908503742494e-05,0.00071667520493144,0.0473136275807642,0.962263267007956,"not sig","CT"
"rh_inferiortemporal","right","inferior temporal","SCZ",-0.00790396579855281,0.0397654896380947,-0.198764453059342,0.842447003485441,"not sig",0.000192155388038706,0.000716833610556842,0.268061353721176,0.7886520927494,"not sig","CT"
"rh_inferiortemporal","right","inferior temporal","SUD",-0.0526457295097692,0.0397120483190216,-1.32568657972126,0.184943534496162,"not sig",0.000759840939748657,0.000719844878903665,1.05556205512764,0.291168344411096,"not sig","CT"
"rh_isthmuscingulate","right","isthmus cingulate","ADHD",-0.0370990165946111,0.0404478965141635,-0.917205090791811,0.359035179671819,"not sig",0.000639767987966504,0.000729584389025849,0.876893746069225,0.380544353387053,"not sig","CT"
"rh_isthmuscingulate","right","isthmus cingulate","ASD",-0.0109895333044072,0.0401324344853085,-0.273831713559021,0.784213950875695,"not sig",0.000245611695930716,0.000725158361696265,0.33870077062366,0.734835160070111,"not sig","CT"
"rh_isthmuscingulate","right","isthmus cingulate","BIP",-0.00911196388456773,0.0401524941088572,-0.226933944871876,0.820475106362346,"not sig",9.0863278450757e-05,0.000724911047614789,0.125344038761347,0.900251189186592,"not sig","CT"
"rh_isthmuscingulate","right","isthmus cingulate","MDD",-0.027214299342349,0.0402098592659321,-0.676806629995008,0.498528651019761,"not sig",0.00029500605603415,0.000726542320173729,0.406041118105286,0.684712388665818,"not sig","CT"
"rh_isthmuscingulate","right","isthmus cingulate","SCZ",0.0239993107361802,0.040307877686968,0.595400008964984,0.551576119536057,"not sig",-0.000500154779970857,0.000726593738486786,-0.688355477728842,0.491228953581947,"not sig","CT"
"rh_isthmuscingulate","right","isthmus cingulate","SUD",-0.0614909650923952,0.0402418601449931,-1.5280348589961,0.126503883267677,"not sig",0.000631230062867966,0.000729423640502415,0.865381964359127,0.386829176780919,"not sig","CT"
"rh_lateraloccipital","right","lateral occipital","ADHD",0.0233947729448468,0.0391770865646553,0.597154484834844,0.550404244044341,"not sig",-0.000218408182295046,0.000706678350530406,-0.309063072515406,0.757273548776321,"not sig","CT"
"rh_lateraloccipital","right","lateral occipital","ASD",-0.00239595010589391,0.0388734077761915,-0.0616346814688405,0.950853757616577,"not sig",0.000294129637645732,0.0007024113723416,0.418742704385898,0.675404182319523,"not sig","CT"
"rh_lateraloccipital","right","lateral occipital","BIP",0.00543721375779496,0.0388945298100717,0.139793790652458,0.888822919462292,"not sig",9.6487545751365e-06,0.000702214980702429,0.0137404567551162,0.989037046665674,"not sig","CT"
"rh_lateraloccipital","right","lateral occipital","MDD",0.0149083969893914,0.0389496520512595,0.382760723247831,0.701897186028275,"not sig",-0.000124000290648164,0.000703784857179211,-0.176190620447789,0.860144189317427,"not sig","CT"
"rh_lateraloccipital","right","lateral occipital","SCZ",-0.0276387498801824,0.0390431525417901,-0.707902617510179,0.47900573414172,"not sig",0.000726970543911575,0.000703808302959684,1.03290987170013,0.301646078604597,"not sig","CT"
"rh_lateraloccipital","right","lateral occipital","SUD",-0.0185043827955701,0.0389978121376117,-0.474497972611224,0.635144843362959,"not sig",0.000330315261254104,0.000706892257761177,0.467278086055514,0.640300932790018,"not sig","CT"
"rh_lateralorbitofrontal","right","lateral orbitofrontal","ADHD",-0.0645383131456548,0.0385100499019524,-1.67588235564408,0.0937612384532314,"not sig",0.00126215899146492,0.000694726049971548,1.81677222484549,0.069251997408043,"not sig","CT"
"rh_lateralorbitofrontal","right","lateral orbitofrontal","ASD",-0.00712641808834657,0.0382314463145967,-0.186402000847813,0.852129523478887,"not sig",0.000271723163622409,0.000690824139798525,0.393331888636166,0.694074368615544,"not sig","CT"
"rh_lateralorbitofrontal","right","lateral orbitofrontal","BIP",-0.0583800056207013,0.0382372303977789,-1.52678436731371,0.126814640116528,"not sig",0.00091807526801922,0.000690422215909982,1.32973019532575,0.183607182341441,"not sig","CT"
"rh_lateralorbitofrontal","right","lateral orbitofrontal","MDD",-0.036246725917354,0.0382850749972887,-0.946758649941808,0.343761776777806,"not sig",0.000696949744568507,0.000691839601206736,1.00738631230831,0.313749166405822,"not sig","CT"
"rh_lateralorbitofrontal","right","lateral orbitofrontal","SCZ",0.0212920061957691,0.0383934582646236,0.554573803928153,0.579186211136954,"not sig",-0.000489485159159315,0.00069215833785405,-0.707186683146665,0.479450473061236,"not sig","CT"
"rh_lateralorbitofrontal","right","lateral orbitofrontal","SUD",-0.0572144823723697,0.03834340852049,-1.49215952832663,0.135657329333723,"not sig",0.00108554707362926,0.000695119350451693,1.56167005410491,0.118365736873602,"not sig","CT"
"rh_lingual","right","lingual","ADHD",0.0218843677262783,0.0400005586807885,0.547101551778799,0.584308966234908,"not sig",-0.000301315260125296,0.000721533174246169,-0.417604166904868,0.676236549693001,"not sig","CT"
"rh_lingual","right","lingual","ASD",-0.0106387742439655,0.0396917951181447,-0.268034595369109,0.788672689440577,"not sig",0.000316396395869974,0.000717199129431868,0.441155577141608,0.659100370661897,"not sig","CT"
"rh_lingual","right","lingual","BIP",-0.0319826399921051,0.0397100503709134,-0.805404165780953,0.420586488616839,"not sig",0.000615417552996072,0.000716939597757565,0.858395260801561,0.390674243615626,"not sig","CT"
"rh_lingual","right","lingual","MDD",0.021663979181482,0.0397664467096954,0.544780360680305,0.585904587525668,"not sig",-0.000270234518208217,0.000718544383068099,-0.376086049207354,0.706852925407622,"not sig","CT"
"rh_lingual","right","lingual","SCZ",0.0210841020069861,0.0398612431708073,0.52893739205874,0.596848881897824,"not sig",-0.000120726884453117,0.000718556321542522,-0.168013113006859,0.866572963036685,"not sig","CT"
"rh_lingual","right","lingual","SUD",-0.0291158103919604,0.0398142101543175,-0.731291925147056,0.464600861613998,"not sig",0.000646784242476286,0.0007216917798664,0.896205638639835,0.370142944734378,"not sig","CT"
"rh_medialorbitofrontal","right","medial orbitofrontal","ADHD",-0.0315560488723431,0.0394118843496519,-0.800673436275874,0.423320724680414,"not sig",0.000775699692253348,0.000710962918228659,1.09105506400528,0.275248653975731,"not sig","CT"
"rh_medialorbitofrontal","right","medial orbitofrontal","ASD",-0.00705786006357637,0.0391181512043159,-0.180424172571777,0.856819578742998,"not sig",0.00036535582173176,0.000706841393399023,0.516885152940542,0.60523633249393,"not sig","CT"
"rh_medialorbitofrontal","right","medial orbitofrontal","BIP",-0.0193914388665857,0.0391324311049676,-0.49553371255087,0.620223430945676,"not sig",0.000256150082684688,0.000706556031415687,0.362533290065409,0.716953551136039,"not sig","CT"
"rh_medialorbitofrontal","right","medial orbitofrontal","MDD",0.00972356738134021,0.0391835088467784,0.248154585118011,0.804014803273746,"not sig",-0.000103761429616723,0.000708049395542928,-0.146545467406493,0.883490799516028,"not sig","CT"
"rh_medialorbitofrontal","right","medial orbitofrontal","SCZ",0.0382947135469233,0.0392880695874742,0.974716089362976,0.329701109760544,"not sig",-0.00078059443646306,0.000708261383999588,-1.10212762420422,0.270406191402471,"not sig","CT"
"rh_medialorbitofrontal","right","medial orbitofrontal","SUD",-0.0228713067932585,0.0392377585798425,-0.582890247074615,0.559967186554788,"not sig",0.000540656878246287,0.00071129670932007,0.760100350756722,0.447194603018468,"not sig","CT"
"rh_middletemporal","right","middle temporal","ADHD",-0.0503543283934208,0.039833371716658,-1.26412418089034,0.206185458713282,"not sig",0.000853686364987964,0.000718534115093154,1.18809440923663,0.234796216737354,"not sig","CT"
"rh_middletemporal","right","middle temporal","ASD",-0.0473425757599076,0.0395285969161874,-1.19767913493839,0.231041955219433,"not sig",0.00099877639093005,0.000714252867871614,1.39835125045599,0.162007614685106,"not sig","CT"
"rh_middletemporal","right","middle temporal","BIP",-0.0650638454786556,0.0395447385385902,-1.64532243436538,0.0999033357724784,"not sig",0.00112242279925882,0.000713970506243055,1.57208566662656,0.115930685158604,"not sig","CT"
"rh_middletemporal","right","middle temporal","MDD",0.0231641493527391,0.0395984583173263,0.58497604040821,0.558563827274568,"not sig",-0.000614201725240149,0.000715522170723045,-0.858396497511027,0.390673560956003,"not sig","CT"
"rh_middletemporal","right","middle temporal","SCZ",-0.0361621758101512,0.0397014164238755,-0.910853542958335,0.362372546466451,"not sig",0.000603635090057138,0.000715688095643937,0.843433185113999,0.398986218881547,"not sig","CT"
"rh_middletemporal","right","middle temporal","SUD",-0.0565784301764275,0.0396467606608456,-1.42706312529345,0.153561700104968,"not sig",0.000782434091321687,0.000718675189280637,1.08871727171334,0.276278582884995,"not sig","CT"
"rh_parahippocampal","right","parahippocampal","ADHD",-0.0343060471572833,0.0412700138263331,-0.831258436249752,0.405827649331536,"not sig",0.000681107940938606,0.000744425186327342,0.914944783503209,0.360220618162342,"not sig","CT"
"rh_parahippocampal","right","parahippocampal","ASD",-0.00355552987513659,0.0409510007740109,-0.0868240044915597,0.930811406847146,"not sig",0.000109219533607923,0.000739950960599366,0.147603745955616,0.882655498641733,"not sig","CT"
"rh_parahippocampal","right","parahippocampal","BIP",-0.0383010228809096,0.0409692656530254,-0.934872086926977,0.349854223709748,"not sig",0.000766423392100471,0.000739667874864214,1.03617233916123,0.30012174881977,"not sig","CT"
"rh_parahippocampal","right","parahippocampal","MDD",0.0294314686364205,0.0410292777779487,0.717328459830666,0.473171450595837,"not sig",-0.000572246304721566,0.00074135746845901,-0.771889849455541,0.440179669742853,"not sig","CT"
"rh_parahippocampal","right","parahippocampal","SCZ",0.0146846760040491,0.0411281537340952,0.357046807862798,0.721056764448148,"not sig",-0.000107656076102216,0.000741389176545139,-0.14520858883305,0.884546184901635,"not sig","CT"
"rh_parahippocampal","right","parahippocampal","SUD",-0.0274644244811736,0.041077608189378,-0.668598433349765,0.50375167221911,"not sig",0.000557466009916616,0.000744585468003465,0.748693110290492,0.454042197226216,"not sig","CT"
"rh_paracentral","right","paracentral","ADHD",0.0086637763247955,0.0370312749945457,0.233958358875615,0.815017306341086,"not sig",-9.00931635318936e-05,0.000667980834049255,-0.134873875026855,0.892711595494502,"not sig","CT"
"rh_paracentral","right","paracentral","ASD",-0.0142895728918373,0.0367468129074339,-0.388865639255114,0.697375541462627,"not sig",0.000364678450492801,0.000663986866292326,0.549225397377436,0.582850777131812,"not sig","CT"
"rh_paracentral","right","paracentral","BIP",-0.0327281689108992,0.03676213452529,-0.890268460564617,0.373321752105973,"not sig",0.00049461279742618,0.000663724142366185,0.745208386819981,0.45614575356254,"not sig","CT"
"rh_paracentral","right","paracentral","MDD",-0.0157502002840693,0.0368149801191641,-0.427820420738746,0.668781868381205,"not sig",0.000280038014921953,0.000665220185951583,0.420970410754094,0.673776688602985,"not sig","CT"
"rh_paracentral","right","paracentral","SCZ",-0.0109936504234834,0.0369071872191121,-0.297872887419349,0.765800181837955,"not sig",0.000165302555921023,0.000665311250702398,0.248458981787105,0.803779302971288,"not sig","CT"
"rh_paracentral","right","paracentral","SUD",0.021503589609549,0.0368522397595595,0.583508349827529,0.559551137723414,"not sig",-0.000731756617006056,0.0006680104257027,-1.09542694073419,0.273329636674968,"not sig","CT"
"rh_parsopercularis","right","pars opercularis","ADHD",-0.0461128950763095,0.0357648236397152,-1.28933657106317,0.197281102186579,"not sig",0.000962234295113965,0.000645148980983573,1.4914916143043,0.135832471208535,"not sig","CT"
"rh_parsopercularis","right","pars opercularis","ASD",-0.00148439292968451,0.0354885121300697,-0.041827420778984,0.966636275516001,"not sig",0.00033797068100782,0.000641252328816141,0.527047880873619,0.598160338712242,"not sig","CT"
"rh_parsopercularis","right","pars opercularis","BIP",-0.0339323128037472,0.0355085972052328,-0.955608373026537,0.339270129691126,"not sig",0.000578146500924278,0.000641103935405667,0.901798396477553,0.367163971761569,"not sig","CT"
"rh_parsopercularis","right","pars opercularis","MDD",-0.0165216012433953,0.0355576837958635,-0.464642222993086,0.642187690114436,"not sig",0.000292402105565045,0.000642511826148796,0.455092176773924,0.649042926007739,"not sig","CT"
"rh_parsopercularis","right","pars opercularis","SCZ",0.0124477510585417,0.0356490835964813,0.349174503317958,0.726958306406652,"not sig",-0.000242834714124498,0.000642641769393084,-0.377869484508972,0.70552755249359,"not sig","CT"
"rh_parsopercularis","right","pars opercularis","SUD",-0.0287194450347523,0.0355987782955767,-0.806753669923578,0.41980841626889,"not sig",0.00025828880323498,0.000645303525503568,0.400259402013064,0.68896546666193,"not sig","CT"
"rh_parsorbitalis","right","pars orbitalis","ADHD",-0.00217312322276709,0.0378257657598362,-0.0574508718888789,0.954186039980257,"not sig",0.000194307038561551,0.000682328481914539,0.284770522866562,0.775819956911202,"not sig","CT"
"rh_parsorbitalis","right","pars orbitalis","ASD",0.0539517193125438,0.0375396561399268,1.43719268795223,0.150663250095414,"not sig",-0.000896519518225058,0.000678315496788818,-1.32168514867968,0.186273016071328,"not sig","CT"
"rh_parsorbitalis","right","pars orbitalis","BIP",-0.0292041037925017,0.0375510672732262,-0.777717010811144,0.436735861580563,"not sig",0.000304926476989312,0.000677983253230324,0.449755175421306,0.652886982022162,"not sig","CT"
"rh_parsorbitalis","right","pars orbitalis","MDD",0.0449393523599626,0.0376046880237105,1.19504654131494,0.232068846722186,"not sig",-0.000730980422541811,0.000679502601824139,-1.07575809213898,0.282035459250414,"not sig","CT"
"rh_parsorbitalis","right","pars orbitalis","SCZ",0.0147332896070606,0.0377025957873876,0.39077653141297,0.695962423604048,"not sig",-0.000337466820262564,0.000679662438358998,-0.49652121585144,0.619526722633172,"not sig","CT"
"rh_parsorbitalis","right","pars orbitalis","SUD",-0.0815678763705968,0.0376511348095661,-2.16641216216072,0.0302797054047971,"sig",0.00132652199036692,0.000682510091822706,1.94359322486254,0.0519445234905681,"not sig","CT"
"rh_parstriangularis","right","pars triangularis","ADHD",-0.094230411277719,0.0355362295683846,-2.65167161576288,0.00800943979441608,"sig",0.00182090628724332,0.000641031997152469,2.84058564210832,0.00450307799382973,"sig","CT"
"rh_parstriangularis","right","pars triangularis","ASD",-0.0366184997497778,0.0352705756352297,-1.03821667467207,0.299169191274595,"not sig",0.000829321783099308,0.000637315385570664,1.30127375217329,0.193164768303452,"not sig","CT"
"rh_parstriangularis","right","pars triangularis","BIP",-0.0556338479937801,0.0352821473199408,-1.57682715536809,0.114835301467718,"not sig",0.000822606435323157,0.000637021511049556,1.29133227223023,0.196588484597325,"not sig","CT"
"rh_parstriangularis","right","pars triangularis","MDD",-0.0452393110313635,0.0353321121679072,-1.28040211172134,0.200403751675482,"not sig",0.000761404083788033,0.000638441028650472,1.19259892397185,0.233026487476672,"not sig","CT"
"rh_parstriangularis","right","pars triangularis","SCZ",-0.0419381687377068,0.0354243413505191,-1.18387998587565,0.236460573812049,"not sig",0.000704942055098129,0.000638595427620401,1.1038946171678,0.26963885415655,"not sig","CT"
"rh_parstriangularis","right","pars triangularis","SUD",-0.0819385135116546,0.0353729484768289,-2.31641740482359,0.020535489354213,"sig",0.00122667574528122,0.000641217185938839,1.91304252627786,0.0557426084977209,"not sig","CT"
"rh_pericalcarine","right","pericalcarine","ADHD",0.0148409800160785,0.0388916979169869,0.38159763679529,0.702759837387066,"not sig",-0.000189556195967412,0.000701539386126199,-0.270200361827315,0.787006114346843,"not sig","CT"
"rh_pericalcarine","right","pericalcarine","ASD",0.0665708131750594,0.0385921195483939,1.72498463297878,0.0845302419226769,"not sig",-0.00117108841684609,0.000697330104344133,-1.67938887128292,0.0930762807569642,"not sig","CT"
"rh_pericalcarine","right","pericalcarine","BIP",0.0210461763209971,0.0386098222251217,0.545099021650075,0.585685415537039,"not sig",-0.000313791765267037,0.000697083050020944,-0.450149756557141,0.652602461661349,"not sig","CT"
"rh_pericalcarine","right","pericalcarine","MDD",0.00102415349786982,0.0386644423133977,0.0264882521663823,0.978867903726005,"not sig",-8.64534898499303e-05,0.000698638406223417,-0.123745687439753,0.901516636294966,"not sig","CT"
